"Date Time","Open","High","Low","Close","Change","MACD","MACD-Signal","MACD-Histogram"
2016-06-20,1293,1296.8,1280.8,1292.1,0,,,
2016-06-21,1292.5,1297.4,1267.1,1272.5,-19.59999999999991,,,
2016-06-22,1271.4,1273.5,1263.8,1270,-2.5,,,
2016-06-23,1268.1,1274.9,1256.9,1263.1,-6.900000000000091,,,
2016-06-24,1254.3,1362.6,1252.8,1322.4,59.30000000000018,,,
2016-06-27,1322.3,1340,1320.8,1324.7,2.2999999999999545,,,
2016-06-28,1328.3,1329.5,1308.2,1317.9,-6.7999999999999545,,,
2016-06-29,1313.9,1331,1313.3,1326.9,9,,,
2016-06-30,1321,1326.5,1315.3,1320.6,-6.300000000000182,,,
2016-07-01,1324.8,1347,1323.1,1339,18.40000000000009,,,
2016-07-05,1345,1360.3,1338.5,1358.7,19.700000000000045,,,
2016-07-06,1358,1377.5,1356.3,1367.1,8.399999999999864,,,
2016-07-07,1365.7,1372.9,1352,1362.1,-5,,,
2016-07-08,1361,1371.8,1336.3,1358.4,-3.699999999999818,,,
2016-07-11,1368.9,1376.5,1351.8,1356.6,-1.800000000000182,,,
2016-07-12,1356.3,1358.9,1331,1335.3,-21.299999999999955,,,
2016-07-13,1334,1346.3,1328.1,1343.6,8.299999999999955,,,
2016-07-14,1344.5,1348,1320.4,1332.2,-11.399999999999864,,,
2016-07-15,1336.4,1339.5,1322.6,1327.4,-4.7999999999999545,,,
2016-07-18,1333.4,1336,1323.5,1329.3,1.8999999999998636,,,
2016-07-19,1329.1,1335.5,1325.8,1332.3,3,,,
2016-07-20,1332.2,1338.8,1312.5,1319.3,-13,,,
2016-07-21,1316.2,1334,1310.7,1331,11.700000000000045,,,
2016-07-22,1331.4,1334,1319.4,1323.4,-7.599999999999909,,,
2016-07-25,1322.7,1323.4,1311.1,1319.5,-3.900000000000091,,,
2016-07-26,1323.1,1332,1321.3,1328.3,8.799999999999955,5.6051282051280396,,
2016-07-27,1327.5,1350,1323,1334.5,6.2000000000000455,2.132692307692423,,
2016-07-28,1347.5,1352.6,1339.2,1341.2,6.7000000000000455,-0.01794871794845676,,
2016-07-29,1342.7,1362,1335,1357.5,16.299999999999955,-2.2250000000001364,,
2016-08-01,1357.2,1361.9,1353.2,1359.6,2.099999999999909,-3.653205128204945,,
2016-08-02,1360.6,1374.2,1353.7,1372.6,13,-1.8173076923076223,,
2016-08-03,1370.5,1373.4,1360.6,1364.7,-7.899999999999864,-0.4057692307690104,,
2016-08-04,1364.7,1371.4,1355.1,1367.4,2.7000000000000455,0.6153846153847553,,
2016-08-05,1367.2,1371,1340.4,1344.4,-23,2.0339743589743193,0.251994301994374,1.7819800569799453
2016-08-08,1341.2,1343.9,1335.3,1341.3,-3.1000000000001364,2.096153846153811,-0.13789173789165135,2.2340455840454627
2016-08-09,1341.2,1348.5,1336,1346.7,5.400000000000091,3.741666666666788,0.040883190883278075,3.70078347578351
2016-08-10,1347,1363.6,1345.7,1351.9,5.2000000000000455,6.703205128205127,0.7876780626781207,5.915527065527006
